pl_bmassj,objectid,pl_name,mass_in_kg
0.79,3.12508,OGLE-2016-BLG-1227L b,1.49942e+27
0.066,3.11868,OGLE-2015-BLG-0966L b,1.25268e+26
0.771,3.12842,KMT-2016-BLG-2605L b,1.463358e+27
1.3,3.18803,KMT-2021-BLG-1105L b,2.4674e+27
0.0196,3.1305,OGLE-2018-BLG-0532L b,3.72008e+25
0.02014,3.13047,OGLE-2018-BLG-0383L b,3.8225720000000003e+25
6.4,3.13049,KMT-2021-BLG-0322L b,1.21472e+28
1.34,3.12801,OGLE-2018-BLG-0962L b,2.54332e+27
0.73,3.18447,KMT-2021-BLG-1898L b,1.38554e+27
4.57,3.18674,KMT-2019-BLG-0414L b,8.673860000000001e+27
0.65,3.11739,OGLE-2014-BLG-0124L b,1.2337e+27
1.07,3.19437,KMT-2021-BLG-2010L b,2.03086e+27
0.31,3.19439,KMT-2022-BLG-1013L b,5.8838e+26
0.01029,3.12137,OGLE-2017-BLG-0173L b,1.9530420000000002e+25
1.59,3.12165,OGLE-2017-BLG-1140L b,3.01782e+27
0.245,3.12808,KMT-2018-BLG-1743L b,4.6500999999999995e+26
0.95,3.19963,KMT-2016-BLG-2321L b,1.8030999999999998e+27
0.51,3.12844,OGLE-2019-BLG-0304L b,9.6798e+26
0.11,3.12398,KMT-2017-BLG-0165L b,2.0878e+26
0.62,3.12244,MOA-2016-BLG-319L b,1.17676e+27
0.057,3.12245,MOA-2011-BLG-291L b,1.08186e+26
3.67,3.18673,KMT-2017-BLG-0673L b,6.96566e+27
1.25,3.12581,KMT-2019-BLG-1339L b,2.3725e+27
0.57,3.13091,OGLE-2014-BLG-0319L b,1.0818599999999998e+27
19.0,3.19696,KMT-2019-BLG-0297L b,3.6061999999999998e+28
4.36,3.1991,OGLE-2023-BLG-0836L b,8.27528e+27
0.25,3.18692,KMT-2021-BLG-1077L c,4.745e+26
0.38,3.18468,KMT-2021-BLG-1303L b,7.2124e+26
0.9,3.18802,KMT-2021-BLG-2478L b,1.7082e+27
4.18,3.12092,OGLE-2016-BLG-0613L AB b,7.93364e+27
1.1,3.19,K2-2016-BLG-0005L b,2.0878000000000002e+27
0.47,3.11875,OGLE-2012-BLG-0724L b,8.920599999999999e+26
0.64,3.12582,KMT-2019-BLG-1953L b,1.21472e+27
0.2,3.19006,OGLE-2018-BLG-1212L b,3.796e+26
3.93,3.12615,KMT-2016-BLG-2364L b,7.45914e+27
0.71,3.12311,KMT-2017-BLG-1146L b,1.3475799999999999e+27
0.348,3.12463,KMT-2018-BLG-1990L b,6.605039999999999e+26
15.49,3.12239,KMT-2016-BLG-2142L b,2.940002e+28
21.0,3.19687,KMT-2021-BLG-1770L b,3.9858e+28
0.591,3.19921,Gaia22dkvL b,1.121718e+27
0.122,3.19855,KMT-2023-BLG-0735L b,2.31556e+26
0.04908,3.1993,OGLE-2017-BLG-0448L b,9.315383999999999e+25
0.18,3.11719,OGLE-2008-BLG-092L b,3.4164e+26
0.26,3.19438,KMT-2022-BLG-0371L b,4.9348e+26
0.0736,3.114,MOA-2008-BLG-310L b,1.3969279999999999e+26
0.0211,3.12033,MOA-2012-BLG-505L b,4.00478e+25
11.6,3.11647,MOA-2011-BLG-322L b,2.2016799999999997e+28
0.106,3.1224,MOA-2015-BLG-337L b,2.01188e+26
0.88,3.11744,OGLE-2011-BLG-0265L b,1.67024e+27
8.4,3.12049,MOA-2012-BLG-006L b,1.59432e+28
2.2,3.18426,OGLE-2019-BLG-1470L AB c,4.1756000000000004e+27
9.51,3.12506,OGLE-2013-BLG-0911L b,1.8049979999999999e+28
0.00522,3.11695,OGLE-2013-BLG-0341L B b,9.90756e+24
0.017,3.11407,OGLE-2005-BLG-390L b,3.2266000000000002e+25
0.29,3.12069,OGLE-2013-BLG-0132L b,5.5041999999999996e+26
1.47,3.19686,KMT-2021-BLG-1547L b,2.79006e+27
0.03524,3.18263,KMT-2021-BLG-0171L b,6.688552e+25
4.8,3.12422,OGLE-2018-BLG-0740L b,9.1104e+27
2.56,3.12791,KMT-2019-BLG-1715L b,4.85888e+27
29.0,3.19695,KMT-2018-BLG-0885L b,5.5041999999999996e+28
0.14,3.1883,OGLE-2018-BLG-0298L b,2.6572e+26
0.19278,3.18737,KMT-2021-BLG-1372L b,3.6589644e+26
0.02014,3.18732,OGLE-2018-BLG-0977L b,3.8225720000000003e+25
0.38,3.1996,OGLE-2016-BLG-1598L b,7.2124e+26
0.04279,3.19912,KMT-2023-BLG-1431L b,8.121542e+25
3.43,3.18713,OGLE-2019-BLG-0468L b,6.51014e+27
0.67,3.12603,OGLE-2018-BLG-1269L b,1.27166e+27
4.35,3.19913,OGLE-2014-BLG-0221L b,8.2563e+27
0.047,3.19962,MOA-2016-BLG-526L b,8.920599999999999e+25
1.45,3.18827,KMT-2018-BLG-0030L b,2.7520999999999997e+27
1.26,3.18801,KMT-2021-BLG-0909L b,2.39148e+27
10.22,3.18714,OGLE-2019-BLG-0468L c,1.939756e+28
2.63,3.12616,KMT-2016-BLG-2397L b,4.991739999999999e+27
0.91,3.18832,OGLE-2018-BLG-1119L b,1.72718e+27
0.12,3.18469,KMT-2021-BLG-1554L b,2.2776e+26
0.97,3.19003,OGLE-2018-BLG-1647L b,1.84106e+27
0.041,3.19823,KMT-2023-BLG-0416L b,7.7818e+25
0.63,3.19824,KMT-2023-BLG-1454L b,1.19574e+27
2.59,3.19961,OGLE-2016-BLG-1800L b,4.9158199999999994e+27
0.89,3.19005,OGLE-2018-BLG-0932L b,1.68922e+27
0.0152,3.19319,MOA-2022-BLG-249L b,2.88496e+25
0.00827,3.19964,KMT-2023-BLG-1866L b,1.5696459999999998e+25
3.26,3.18262,OGLE-2019-BLG-0362L b,6.187479999999999e+27
0.71,3.18734,OGLE-2016-BLG-1093L b,1.3475799999999999e+27
2.11,3.18829,KMT-2018-BLG-0247L b,4.0047799999999994e+27
21.0,3.19697,KMT-2019-BLG-0335L b,3.9858e+28
0.23,3.18828,KMT-2018-BLG-0087L b,4.3654000000000004e+26
1.62,3.1981,OGLE-2017-BLG-0640L b,3.07476e+27
3.283,3.12303,KMT-2016-BLG-1107L b,6.231134e+27
0.0239,3.12536,KMT-2018-BLG-0029L b,4.5362200000000005e+25
0.056,3.19002,OGLE-2018-BLG-1126L b,1.06288e+26
0.95,3.19004,OGLE-2018-BLG-1367L b,1.8030999999999998e+27
11.28,3.12618,OGLE-2017-BLG-1375L b,2.140944e+28
0.00302,3.13175,KMT-2020-BLG-0414L b,5.73196e+24
15.4,3.13176,KMT-2020-BLG-0414L c,2.9229199999999998e+28
0.4,3.19853,MOA-2022-BLG-563L b,7.592e+26
0.124,3.19854,KMT-2023-BLG-0469L b,2.3535199999999998e+26
0.26,3.18784,OGLE-2018-BLG-0799L b,4.9348e+26
0.01,3.11398,MOA-2007-BLG-192L b,1.898e+25
4.1,3.11631,MOA-2008-BLG-379L b,7.781799999999999e+27
11.0,3.11578,MOA-2010-BLG-073L b,2.0878e+28
0.09,3.11871,MOA-2011-BLG-028L b,1.7082e+26
2.6,3.11411,OGLE-2003-BLG-235L b,4.9348e+27
0.27,3.11409,OGLE-2006-BLG-109L c,5.1246e+26
0.053,3.11766,MOA-2011-BLG-262L b,1.00594e+26
0.212,3.11402,MOA-2009-BLG-319L b,4.02376e+26
0.6,3.12464,MOA-bin-29 b,1.1388e+27
0.0444,3.11406,OGLE-2005-BLG-169L b,8.42712e+25
2.73,3.11639,OGLE-2012-BLG-0406L b,5.181539999999999e+27
0.11,3.11947,OGLE-2012-BLG-0950L b,2.0878e+26
